Date,Payload ,Vehicle,Company,Site
"Jul 20, 2021",NS-16/M15,New Shepard System,Blue Origin,TX
"20210711Jul 11, 2021",VH01,SpaceShipTwo,Virgin Galactic,NM
"20210630Jun 30, 2021",Transporter-2,Falcon 9,Space Exploration Technologies Corporation,FL
"20210630Jun 30, 2021",Flight 3,LauncherOne (L1),"Virgin Orbit, LLC",CA
"20210613Jun 13, 2021",TacRL-2,Pegasus XL,"Orbital Sciences, LLC",CA
"20210606Jun 6, 2021",SiriusXM-8,Falcon 9,Space Exploration Technologies Corporation,FL
"20210603Jun 3, 2021",CRS-22,Falcon 9,Space Exploration Technologies Corporation,FL
"20210526May 26, 2021",Starlink v1.0-28,Falcon 9,Space Exploration Technologies Corporation,FL
"20210522May 22, 2021",VF02-02,SpaceShipTwo,Virgin Galactic,NM
"20210515May 15, 2021",Starlink v1.0-26,Falcon 9,Space Exploration Technologies Corporation,FL
"20210515May 15, 2021","F20 ""Running out of Toes""",Electron,Rocket Lab Global,NZ
"20210509May 9, 2021",Starlink v1.0-27,Falcon 9,Space Exploration Technologies Corporation,FL
"20210505May 5, 2021",Suborbital Flight 5 (SN15),Starship Prototype,Space Exploration Technologies Corporation,TX
"20210504May 4, 2021",Starlink v1.0-25,Falcon 9,Space Exploration Technologies Corporation,FL
"20210429Apr 29, 2021",Starlink v1.0-24,Falcon 9,Space Exploration Technologies Corporation,FL
"20210423Apr 23, 2021",Crew-2,Falcon 9,Space Exploration Technologies Corporation,FL
"20210414Apr 14, 2021",NS-15/M14,New Shepard System,Blue Origin,TX
"20210407Apr 7, 2021",Starlink v1.0-23,Falcon 9,Space Exploration Technologies Corporation,FL
"20210330Mar 30, 2021",SN11,Starship Prototype,Space Exploration Technologies Corporation,TX
"20210324Mar 24, 2021",Starlink v1.0-22,Falcon 9,Space Exploration Technologies Corporation,FL
"20210322Mar 22, 2021","F19 ""They Go Up So Fast""",Electron,Rocket Lab Global,NZ
"20210314Mar 14, 2021",Starlink v1.0-21,Falcon 9,Space Exploration Technologies Corporation,FL
"20210311Mar 11, 2021",Starlink v1.0-20,Falcon 9,Space Exploration Technologies Corporation,FL
"20210304Mar 4, 2021",Starlink v1.0-17,Falcon 9,Space Exploration Technologies Corporation,FL
"20210303Mar 3, 2021",SN10 Suborbital Flight,Starship Prototype,Space Exploration Technologies Corporation,TX
"20210220Feb 20, 2021",NG-15,Antares,Orbital Sciences Corp,VA
"20210216Feb 16, 2021",Starlink v1.0-19,Falcon 9,Space Exploration Technologies Corporation,FL
"20210204Feb 4, 2021",Starlink v1.0-18,Falcon 9,Space Exploration Technologies Corporation,FL
"20210202Feb 2, 2021",SN9 Suborbital Flight,Starship Prototype,Space Exploration Technologies Corporation,TX
"20210124Jan 24, 2021",Transporter-1,Falcon 9,Space Exploration Technologies Corporation,FL
"20210120Jan 20, 2021",Starlink v1.0-16,Falcon 9,Space Exploration Technologies Corporation,FL
"20210120Jan 20, 2021",Kramer/Another One Leaves the Crust,Electron,Rocket Lab Global,NZ
"20210117Jan 17, 2021",Flight 2,LauncherOne (L1),"Virgin Orbit, LLC",CA
"20210114Jan 14, 2021",NS-14/M13,New Shepard System,Blue Origin,TX
"20210107Jan 7, 2021",Turksat-5A,Falcon 9,Space Exploration Technologies Corporation,FL
"20201219Dec 19, 2020",NROL-108,Falcon 9,Space Exploration Technologies Corporation,FL
"20201215Dec 15, 2020",Test Launch,Rocket 3.2,Astra,AK
"20201215Dec 15, 2020",Flight 17 / SARdine,Electron,Rocket Lab Global,NZ
"20201213Dec 13, 2020",SiriusXM-7,Falcon 9,Space Exploration Technologies Corporation,FL
"20201212Dec 12, 2020",VF02,SpaceShipTwo,Virgin Galactic,NM
"20201209Dec 9, 2020",15km Hop,Starship Prototype,Space Exploration Technologies Corporation,TX
"20201206Dec 6, 2020",CRS-21,Falcon 9,Space Exploration Technologies Corporation,FL
"20201124Nov 24, 2020",Starlink v1.0-15,Falcon 9,Space Exploration Technologies Corporation,FL
"20201119Nov 19, 2020",Flight 16 / Bonnie,Electron,Rocket Lab Global,NZ
"20201115Nov 15, 2020",Crew-1,Falcon 9,Space Exploration Technologies Corporation,FL
"20201028Oct 28, 2020","Flight 15/Papa1 ""In Focus""",Electron,Rocket Lab Global,NZ
"20201024Oct 24, 2020",Starlink v1.0-14,Falcon 9,Space Exploration Technologies Corporation,FL
"20201018Oct 18, 2020",Starlink v1.0-13,Falcon 9,Space Exploration Technologies Corporation,FL
"20201013Oct 13, 2020",NS13 P10,New Shepard System,Blue Origin,TX
"20201006Oct 6, 2020",Starlink v1.0-12,Falcon 9,Space Exploration Technologies Corporation,FL
"20201002Oct 2, 2020",NG-14,Antares,Northrop Grumman,VA
"20200911Sep 11, 2020",Test Launch 3.1,Astra Rocket 3,Astra,AK
