Date,Mission success,Country/organization,Mission name
3/17/1905,"Inspired by the writings of Jules Verne, first serious work published that showed physical space exploration was theoretically possible: ???????????? ??????? ??????????? ??????????? ????????? (The Exploration of Cosmic Space by Means of Reaction Devices)",Russia,Konstantin Tsiolkovsky
3/28/1905,Goddard files for and is subsequently awarded U.S. patents on multistage and liquid-fueled rockets,United States,Robert H. Goddard
3/31/1905,First observation of an extrasolar planet (exoplanet) round Van Maanen 2 although it is not recognised as such at the time.,Netherlands,Adriaan van Maanen
4/2/1905,"Goddard's widely influential paper ""A Method of Reaching Extreme Altitudes"" discussed solid- and liquid-fueled rocketry",United States,Robert H. Goddard
12/15/1923,"Die Rakete zu den Planetenr�umen (""By Rocket into Planetary Space"") self-published after its rejection as a doctoral thesis.",Germany,Hermann Oberth
4/7/1905,Society for Studies of Interplanetary Travel founded,USSR,"Members include Konstantin Tsiolkovsky, Friedrich Zander, Yuri Kondratyuk"
3/16/1926,Goddard launches the first liquid-fueled rocket,United States,Robert H. Goddard
4/10/1905,Verein f�r Raumschiffahrt (Society for Space Travel) formed; it includes many top European rocket scientists.,Germany,
4/10/1905,?????????? ???????????? ??????????? (The Conquest of Interplanetary Space) discusses rocket mechanics and orbital effects including the gravitational slingshot,USSR,Yuri Kondratyuk
4/11/1905,Das Problem der Befahrung des Weltraums � der Raketen-Motor (The Problem of Space Travel � The Rocket Motor) discusses space travel and its potential uses for scientific experiments.,Germany,Herman Poto?nik
6/11/1928,"Lippisch Ente, first successful rocket-powered full-size aircraft",Germany,"Alexander Lippisch (designer), Fritz Stamer (pilot)"
1/1/1933,British Interplanetary Society founded,UK,Philip E. Cleator
6/20/1944,V-2 Rocket (MW 18014): First artificial object to cross what would later be defined as the K�rm�n line and hence first spaceflight in history.,Germany,Wehrmacht
10/1/1945,"Article in Wireless World, ""Extra-Terrestrial Relays � Can Rocket Stations Give Worldwide Radio Coverage?"" makes first discussion of geostationary satellites as a means of communication.",UK,Arthur C. Clarke
5/10/1946,First space research flight (cosmic radiation experiments),United States,captured and improved V-2 rocket
10/24/1946,First pictures of Earth from 105�km (65�mi),United States,V-2
2/20/1947,First animals in space (fruit flies),United States,V-2
2/24/1949,"WAC Corporal missile mounted onto a V-2 rocket, producing the first two-stage liquid-fueled rocket, that sets a record altitude of 244 miles (392.68 kilometers).",United States,Bumper-5
9/20/1956,"The first rocket to pass the Thermopause and enter the Exosphere. At 682 miles (1,097.57 km) altitude and 3,335 miles range, the 3-stage Jupiter-C breaks both records and achieves MACH 18 velocity.",United States,Jupiter-C (first launch)
8/21/1957,First intercontinental ballistic missile (ICBM),USSR,R-7 Semyorka/SS-6 Sapwood
10/4/1957,First artificial satellite,USSR,Sputnik 1
,First signals from space,,
11/3/1957,"First mammal in orbit, the dog Laika",USSR,Sputnik 2
1/31/1958,Confirmed existence of the Van Allen radiation belt,USA (ABMA),Explorer 1
